Role,Gender,Age,Sleep Hours
Parent or Guardian of Nueva student,Male,50,12
Parent or Guardian of Nueva student,Female,51,9
Parent or Guardian of Nueva student,Female,48,7
Parent or Guardian of Nueva student,Female,45,
Parent or Guardian of Nueva student,Male,51,9.5
Nueva Teacher,Female,26,6.5
Parent or Guardian of Nueva student,Female,42,7
Parent or Guardian of Nueva student,Female,51,6.75
Nueva Teacher,Female,24,9
Parent or Guardian of Nueva student,Female,52,6
Parent or Guardian of Nueva student,Male,,6.5
